[2025-07-08 14:21:12] IP: ::1 | Page: /akshaynetra/myth-vs-fact.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/how-to-help.php
[2025-07-08 14:21:48] IP: ::1 | Page: /akshaynetra/myth-vs-fact.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/how-to-help.php
[2025-07-08 14:22:01] IP: ::1 | Page: /akshaynetra/myth-vs-fact.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/how-to-help.php
[2025-07-08 14:22:22] IP: ::1 | Page: /akshaynetra/myth-vs-fact.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/how-to-help.php
[2025-07-08 14:23:11] IP: ::1 | Page: /akshaynetra/myth-vs-fact.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/how-to-help.php
[2025-07-08 14:23:48] IP: ::1 | Page: /akshaynetra/myth-vs-fact.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/how-to-help.php
[2025-07-08 14:24:51] IP: ::1 | Page: /akshaynetra/myth-vs-fact.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/how-to-help.php
[2025-07-08 14:25:34] IP: ::1 | Page: /akshaynetra/myth-vs-fact.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/how-to-help.php
[2025-07-08 14:25:50] IP: ::1 | Page: /akshaynetra/myth-vs-fact.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/how-to-help.php
[2025-07-08 14:26:24] IP: ::1 | Page: /akshaynetra/myth-vs-fact.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/how-to-help.php
