[2025-07-01 16:42:19] IP: ::1 | Page: /akshaynetra/hospitals.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/why-influencers-are-key-to-eye-donation-awareness.php
[2025-07-01 16:46:48] IP: ::1 | Page: /akshaynetra/role-of-hospital.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-01 16:47:56] IP: ::1 | Page: /akshaynetra/encourage-families.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-01 16:49:00] IP: ::1 | Page: /akshaynetra/hospital-resources.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-01 16:50:13] IP: ::1 | Page: /akshaynetra/hospital-resources.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-01 16:55:06] IP: ::1 | Page: /akshaynetra/why-become-volunteer.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-01 16:55:46] IP: ::1 | Page: /akshaynetra/volunteer-with-us.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-01 16:58:52] IP: ::1 | Page: /akshaynetra/awareness-campaigns.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-01 16:59:19] IP: ::1 | Page: /akshaynetra/stories-of-change.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
