[2025-07-07 12:00:00] IP: ::1 | Page: /akshaynetra/myth-vs-fact.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/how-to-help.php
[2025-07-07 12:08:02] IP: ::1 | Page: /akshaynetra/how-to-help.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/myth-vs-fact.php
[2025-07-07 12:35:01] IP: ::1 | Page: /akshaynetra/hospitals.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/how-to-help.php
[2025-07-07 12:35:03] IP: ::1 | Page: /akshaynetra/index.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/hospitals.php
[2025-07-07 12:35:45] IP: ::1 | Page: /akshaynetra/hospitals.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/index.php
[2025-07-07 12:35:47] IP: ::1 | Page: /akshaynetra/volunteer.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/hospitals.php
[2025-07-07 12:35:48] IP: ::1 | Page: /akshaynetra/influencer.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/volunteer.php
[2025-07-07 12:35:49] IP: ::1 | Page: /akshaynetra/eye-bank.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/influencer.php
[2025-07-07 12:35:50] IP: ::1 | Page: /akshaynetra/organisations.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/eye-bank.php
[2025-07-07 12:35:51] IP: ::1 | Page: /akshaynetra/donor.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/organisations.php
[2025-07-07 12:35:59] IP: ::1 | Page: /akshaynetra/index.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/donor.php
[2025-07-07 12:36:45] IP: ::1 | Page: /akshaynetra/how-to-help.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/index.php
[2025-07-07 12:46:46] IP: ::1 | Page: /akshaynetra/how-to-help.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/how-to-help.php
[2025-07-07 12:47:03] IP: ::1 | Page: /akshaynetra/contact-us.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/how-to-help.php
[2025-07-07 12:47:22] IP: ::1 | Page: /akshaynetra/index.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/how-to-help.php
[2025-07-07 12:47:25] IP: ::1 | Page: /akshaynetra/about-us.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/index.php
[2025-07-07 12:47:27] IP: ::1 | Page: /akshaynetra/how-to-help.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/about-us.php
[2025-07-07 12:47:31] IP: ::1 | Page: /akshaynetra/how-to-help.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/how-to-help.php
[2025-07-07 12:53:50] IP: ::1 | Page: /akshaynetra/how-to-help.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/how-to-help.php
[2025-07-07 12:54:10] IP: ::1 | Page: /akshaynetra/how-to-help.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/how-to-help.php
[2025-07-07 12:55:35] IP: ::1 | Page: /akshaynetra/how-to-help.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/how-to-help.php
